High	rescue ust hospital oh pls imagine patient suffer ugh 
High	ust hospital flood now food patient amp staff please 
High	rescue pls family trap dela costa home burgos montalban rizal family child 
High	anyone san mateo rizal rescue person 
High	flood ust hospital now floor food patient amp staff pls help 
High	feu science building help need stranded student please send people 
High	please retweet teenager strand house st catherine street provident vill mrkna 
High	please certain rodrigo salvador need rescue kid others kaliraya st cluster tatalon 
High	university santo tomas ust hospital need food patient staff 
High	please help u seek rescue our friend jaja vigilia sampaguita st ivc marikina city 
High	water need ppl rp palad st moras dela paz sto tomas pampanga 
High	christianne mapue amp family caridad st don pedro vil valenzuela city strand neck deep flood 
High	please help strand ang mga residente ng teacher village catmon malabon stay top roof 
High	anyone near ust hospital need help badly floor flood patient amp staff food 
High	ma please uerm staff amp patient need immediate action help 
High	my grandpa camia st cor cattleya twinville subd mrkna old amp nsa bubong sya since 
High	feu science building help need stranded student please send people 
High	rescue need romualdez st cor kalentong house beside caltex lolo lola residing 
High	yrs old lady trap kapiligan st araneta subd qc all grill window locked water already floor help 
High	roldan family gen segundo st hero hill mother cancer theyre trap roof 
High	concepcion integrate school marikina family food yet whole day please 
High	help uerm hospital brownout amp icu patient generator generator die flood almost flr where nursery 
High	pgh uerm ust hospital flood supply run low patient staff need food water 
High	uerm really need help flood almost floor where nursery rescuer whole day 
High	wilma ubando payod kid purok malanday marikina house near national high school 
High	generator hospital just die pls rescue people ust uerm amp pgh hospital amp spread help please 
High	family need rescue address guirayan st brgy dona imelda araneta ave qc pls 
High	melyn pabustan kid purok malanday marikina house near national high school 
High	pgh also need help 
High	family need rescue address guirayan st brgy dona imelda araneta ave qc pls 
High	pgh hospital staff patient need food water pgh isolate flood via 
High	meycauyan doctor hosp generator anymore pls help lot baby thanks 
High	pls need rescue st peter ave francisco subd veintereales valenzuela city mother child pet 
High	please send rescue team malabon navotas area strand hr lot people still trap letre road 
High	pregnant mom small kid trap flooded house dela cruz st brgy isla valenzuel 
High	ust hospital generator already die please send some rescuer 
High	delos santos hospital generator may die any moment need help pls 
High	need rescue here need evacuate address del pilar st tinajeros malabon city please help 
High	need help old grandma stuck alone house victoria teeten tan unit 
High	need rescue here need evacuate address del pilar st tinajeros malabon city 
High	rescue yet strand since kaya valila village catmon malabon 
High	parescue po my kuya hs wife amp amp kid dog stock cont 
High	campos family need rescue kapiligan st dona imelda qc family senior citizen 
High	rescue need provident village asap flood get bad please 
High	get friend residing malabon request help st tinajeros malabon kid pls pls thanks 
High	hospital generator already die please send some rescuer nako pano na mga patient 
High	report need rescue blk lot st tanong malabon flood amp electricity annlyn santos 
High	pls help raiza lacostales others trap st minahan malanday 
High	pls help people hermosa bataan roof now rescuer help now 
High	pls help raiza lacostales others trap st minahan malanday 
High	rescue pls hed woodwork gov pascual brgy catmon malabon tapat ng gulayan near chinese temple 
High	need help asap day old baby unit pine cluster st pineville subd lawa meycauayan bulacan 
High	need rescue here need evacuate address del pilar st tinajeros malabon city 
High	family senior trap home pla help add kapiligan st 
High	trap food water since ellen mariposa st midtown village cainta 
High	frm sevilla person need only house now see sanchez st tinajeros malabon 
High	tirad pas cor sto domingo qc person include kid last working number magoo dulalia 
High	please help borres family child communication yet balut st tonsuya malabon rescueph 
High	pls help our friend funeraria paz trap foodwater amp electricity lot kid 
High	pregnant woman stay top roof near kapiligan st brgy dona imelda qc please help 
High	rescue request villa st brgy batis san juan city 
High	food amp need provident village melbourne cor riverside aina yambao ppl ki 
High	patient move hewlp pls gt tony igcalinos cainta rescue 
High	please help uerm flood now goi 
High	tirad pas cor sto domingo qc person include kid magoo dulalia 
High	marikina river level 
High	speak report need rescue eva bernardo st bgy mariblo pls help 
High	pls monitor landcom village sta mesa manila family trap martes st beside river musta kau gerri 
High	pregnant woman need help top roof near kapiligan st araneta village brgy dona imelda qc 
High	somebody rescue my friend dearborn st brookside subd cainta rizal still roof 
High	still help please just evacuate u near passable road ask help mo 
High	please help out brgy sta lucia de castro countryside 
High	manila water water today affect flood brookside cainta rizal 
High	my bro need rescue pls jim navarro unit riverside vil executive home cainta 
High	pls super urgent ateneo h kitchen badly need food container paper kung pwede ok na styro microwave plastic 
High	please rescue tin masangcay family leo st villarica subd cainta pls 
High	pls super urgent ateneo h kitchen badly need food container paper kung pwede ok na styro 
High	de los santos medical rod food power need help 
High	today st quad adamson please help u need donation 
High	bgy mali town near montalban rodriguez rizal dire need help pls contact romina alfonso 
High	rubber boat urgently need ua amp pearl drive ortigas lot donation distribute pls 
High	more medicine plastic box need ua amp please donate 
High	michael raymond st marietta romeo vill sta lucia pasig city 
High	please retweet help uerm qc de los santos medical center qc 
High	evangelista st xavierville qc neil flores people house please send help 
High	hav friend badly need help virgo st villarica subd ortigas ext di na sila makalabas house pls 
High	emmanuel arcega engineering student ust miss please contact thank 
High	pls obando bulacan esp my family need food clean water flood chest deep inside our house pls send 
High	resident villamor air base pasay city need help 
High	pls help matet reginaldo week old baby villa olympia sto domingo cainta rizal 
